Title|Authors|Abstract|PDF
Цифровая трансформация учета: навыки будущего в бухгалтерии|Лебедева Е. С.; Власов М. А.|Цифровая трансформация в настоящее время – это «реалии» и необходимость для большинства предприятий. Мир находится в постоянном изменении, появляются новые технологии, изменяются правила взаимодействия субъектов экономических отношений, изменяется законодательство, в том числе в области учета и налогообложения. Таким образом, учетная деятельность также подвержена цифровой трансформации. Статья посвящена цифровой трансформации учета в направлении владения навыками использования современных аналитических инструментов, в частности, для формирования в бухгалтерском учете информации, необходимой для обеспечения экономической безопасности.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19528/1/ebs_2022_467_471.pdf
Роль православной церкви в укреплении семейно-нравственных ценностей среди современной молодёжи|Стебунова Е. И.|Показана роль православной церкви в укреплении семейно-нравственных ценностей среди современной молодёжи|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22663/1/Pravosl.Istoki_2022_36_38.pdf
Мониторинг развития координационных способностей у школьников 12-13 летнего возраста, занимающихся в секции футбола|Ишухин В. Ф.|В системе физического воспитания школьников уделяется значительное место развитию физических качеств во время занятий в школьных секциях. Тренировочный процесс школьников наряду с решением многочисленного ряда задач тактической, технической подготовки теоретической, психологической подготовки важнейшее место занимает развитие двигательных качеств. В период данного школьного возраста теме развития физических качеств посвящены многочисленные научные труды в области физической культуры и спорта.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/18501/1/sfzozhn2022_373_377.pdf
Оценка удовлетворенности учащихся старших классов уроками физической культуры|Стародубцева И. В.; Вальтер Д. В.|В статье представлено содержание опросника, разработанного для оценки удовлетворённости учащихся 10-11 классов содержанием, условиями и организацией учебного процесса по физической культуре в школе. Результаты исследования позволяют дополнить систему оценки качества учебного процесса по предмету «Физическая культура» в общеобразовательной школе и могут быть использованы для реализации управленческих решений.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/18534/1/sfzozhn2022_527_533.pdf
Оценка способности к равновесию у лыжников-гонщиков 12-13 лет|Овчаренко Т. А.|В статье представлены результаты оценки способности к равновесию. В исследовании принимали участие воспитанники ДЮСШ г. Заводоуковска отделения лыжные гонки, 15 юношей в возрасте 12-13 лет в подготовительном периоде годичного цикла. Для оценки способности к равновесию использовался тест Староста на максимальное вращение, который включал 3 вариации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/18470/1/sfzozhn2022_246_249.pdf
Актуальность курса по когнитивной лингвистике в контексте проблем сохранения исторической и культурной памяти|Никулина Н. А.|Рассматривается программа курса «Основы когнитивной лингвистики» в Тюменском индустриальном университете.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22657/1/Pravosl.Istoki_2022_12_15.pdf
Инструменты принятия решений подрядчиком на преддоговорной стадии в строительстве в Республике Беларусь|Костюкова С. Н.; Пашкевич Н. А.|В статье рассмотрены виды внутренних и внешних рисков, которые возникают в ходе сотрудничества заинтересованных сторон в сфере строительства. Наиболее незащищенным с точки зрения негативного влияния последствий наступления рисков является подрядчик или подрядная организация. Управление рисками в строительном комплексе позволяет своевременно, быстро и качественно находить пути и решения вопросов, которые возникают в следствие наступления того или иного риска для подрядчика в строительстве. Одним из новых инструментов является матрица договорных условий, с помощью которой подрядчик может принять решение о заключении договора строительного подряда с заказчиком либо отказаться от него.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19511/1/ebs_2022_350_356.pdf
Категория оценки: феномен табу и культура исключения|Ваталева Н. В.|Проблема данного исследования находится в таких областях науки, как когнитивная лингвистика, социолингвистика и прагматика. Актуальность работы обусловлена повышенным вниманием к оценке поведения людей в век информационных технологий. Теоретической базой исследования послужили труды Е. Г. Бруновой, Т. В Лариной, М. М. Маковского и В. А. Марьянчик. В ходе исследования были применены следующие методы: анализ дефиниций; этимологический анализ и морфемный анализ. Проведен комплексный анализ твита Джоан Роулинг, подвергшейся буллингу и «исключению» сетевым сообществом. Выдвинуто предположение о принципе выбора слов в твите, вызвавшем гневную реакцию, а также феномен табу и культура отмены как способ управления высказываемым мнением.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19702/1/klyuch.sl2022_9_11.pdf
Процесс стратегического планирования на мезоуровне: институциональное, правовое, информационное и научное обеспечение|Яковенко Н. В.|Научно-обоснованной основой процесса стратегического планирования социально-экономического развития территорий мезоуровня (мезосистем) должна служить методология стратегического планирования, под которой следует понимать совокупность требований, выдвигаемых к субъектам планирования в процессе предсказания будущего объекта, которые воплощаются в систему принципов стратегического планирования и формируют логику этого процесса. В статье раскрыты институциональные, правовые, информационные и научные принципы обеспечения процесса стратегического планирования на мезоуровне.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/9321/1/tprsR2022_215_219.pdf
Тьюторское сопровождение младших школьников с расстройствами аутистического спектра в режиме учебного дня|Туктабаева Л. Р.|В данной статье рассматриваются содержание тьютерской деятельности по сопровождению детей с расстройствами аутистического спектра в общеобразовательном учреждении. Отдельное внимание уделяется использованию средств физического воспитания в режиме учебного дня младших школьников с РАС.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/18570/1/sfzozhn2022_692_695.pdf
Поправки 2020 года и риски стратегической конституционной нестабильности|Петров А. А.|Поправки, внесенные в Конституцию Российской Федерации в 2020 году, существенно обновили российский Основной Закон, затронув практически все ключевые аспекты конституционного регулирования. Кроме того, Конституция Российской Федерации обогатилась рядом принципиально новых положений, которые ранее отсутствовали в ее тексте. Можно констатировать, что в конституционно-правовом развитии России начался новый этап. Вместе с тем анализ содержания поправок 2020 года и юридико-технических аспектов их имплементации в тексте Конституции Российской Федерации указывает на ряд проблем, которые в совокупности формируют риски конституционной нестабильности. В статье отмечается, что поправки обострили проблему недостаточности поглавной структуры конституционного текста и ослабили значение особой юридической силы неизменяемых положений Конституции Российской Федерации (прежде всего, ее глав 1 и 2). Кроме того, в Конституции Российской Федерации появились отдельные понятия, которые в ней самой не получили содержательного раскрытия (в качестве примера рассматривается введение института федеральных территорий). В ряде случаев внесенные поправки, закрепляя на конституционном уровне отдельные юридические конструкции, сложившиеся в федеральном законодательстве, не отличаются необходимой полнотой.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/8964/1/koz2021_75_83.pdf
Организация системы нравственного воспитания студентов в среднем профессиональном образовании|Барышников П. О.|Среднее профессиональное образование (СПО) является одним из основных массовых видов образования в Российской Федерации. К СПО относятся колледжи и техникумы. В них осуществляют подготовку квалифицированных рабочих и служащих, специалистов среднего звена. Цели и содержание образования всегда обусловлены запросами общества, которые определяются социальным, экономическим, научным уровнем его развития. СПО в нашей стране не остается в стороне от глобальных культурно-исторических и технологических вызовов, которые за последние годы очень быстро и радикально изменили представления об образовании в целом и профессиональном образовании как важной его части. Статья посвящена организации системы нравственного воспитания студентов в СПО.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22662/1/Pravosl.Istoki_2022_31_35.pdf
Проблема гиподинамии среди молодежи|Кальсина Т. А.|В настоящее время все чаще возникают заболевания, связанные с гиподинамией. В данной статье подробно объясняются причины возникновения гиподинамии у молодежи и способы решения данной проблемы. Раскрываются методы освоения активной физической нагрузки в течение рабочего дня и процесса обучения. Причины развития низкой активности среди молодого поколения и его основные проявления.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/18502/1/sfzozhn2022_377_380.pdf
Система визуализации хронологических лент|Криворогов Д. Д.; Фазлыев А. А.; Ходырев А. Н.; Шушарин Д. В.; Ступников А. А.|В работе представлено описание реализации программного продукта, решающего проблему визуализации данных, расположенных в хронологическом порядке.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19944/1/miim_2022_460_467.pdf
К вопросу об изменениях кадровой политики в условиях санкций|Сидорова Я. А.; Усольцев В. А.; Щеглова Ю. Г.; Семова Н. Г.|Кадровая политика играет одну из важных ролей в компании. Кадры – это важный фактор деятельности бизнеса, так как высококвалифицированные сотрудники способны эффективно управлять компанией и разрабатывать планы развития для достижения главной цели бизнеса. В условиях действия санкций кадровая политика нуждается в особых действиях управленческого персонала. При исследовании кадровой политики в условиях санкций особое внимание уделялось изучению типов кадровой политики, методов управления персоналом, прогнозов аналитиков и исследованию состояния рынка труда.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19490/1/ebs_2022_220_227.pdf
Налоговая задолженность как угроза экономической безопасности региона|Варакса Н. Г.; Рождественская Е. С.|Механизм обеспечения экономической безопасности региона направлен на своевременное выявление и предупреждение угроз разного характера, среди которых выделяем налоговую задолженность. Образование такой задолженности происходит в результате внутренних и внешних причин, влияющих на платежеспособность субъектов бизнеса. В статье проведен анализ структурных элементов и причин образования налоговой задолженности в регионе, даны рекомендации для своевременного регулирования и предотвращения ее роста.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19461/1/ebs_2022_28_33.pdf
Современные особенности территориальной организации сельского хозяйства России|Даньшин А. И.|В статье рассматриваются важнейшие меняющиеся тенденции территориальной организации сельского хозяйства России в связи с мировыми, российскими и локальными трендами. Показаны изменения в отдельных отраслях, связанные с влиянием факторов разной природы. Рассчитаны коэффициенты локализации отраслей растениеводства, показаны территориальные тренды, выявлено своеобразие современного развития отраслей животноводства.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/9383/1/tprsR2022_534_538.pdf
К вопросу о гражданско-правовой ответственности предпринимателей|Зимнева С. В.|В статье рассматривается установленная законом повышенная ответственность лиц, осуществляющих предпринимательскую деятельность, отвечающих даже за случайное, невиновное неисполнение или ненадлежащее исполнение обязательств. Анализ теоретических воззрений и судебной практики позволяет сделать вывод о необходимости пересмотра и видоизменения в настоящее время ответственности предпринимателя по «принципу причинения». В статье предлагается закрепить в гражданском законодательстве норму о сужении границы повышенной ответственности предпринимателя.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/9002/1/koz2021_408_413.pdf
Социализация современной молодёжи и актуализация личности через спорт|Германов А. В.|Данная статья посвящена рассмотрению вопроса социализации молодёжи через спорт. Автором была комплексно рассмотрена деятельность спортивных секций и клубов, как социальных институтов, а также раскрыт вопрос о влиянии спорта и физической культуры на психофизиологические характеристики спортсмена и их роли в процессе интеграции в общество.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/18426/1/sfzozhn2022_40_43.pdf
Критерии эффективности работы органа власти|Моисеева И. В.|Проблема совершенствования эффективности деятельности государственного управления представляется ключевым моментом, который опровергает или поддерживает применяемые методы и формы власти - в рамках критериев эффективности. Фактором, который определяет этот вопрос, выступает прежде всего социально-экономическая эффективность, то есть всеобщий учет общественных интересов граждан. В данной статье рассмотрены особенности определения критериев эффективности работы органа власти. В рамках исследуемой работы представлено своеобразие оценки эффективности деятельности органов государственной власти с точки зрения социально-экономической эффективности. Проведён анализ динамики нормативного регулирования института оценки эффективности деятельности органов исполнительной власти субъектов РФ. Разобраны минусы и плюсы нормативного регулирования института оценки эффективности деятельности органов исполнительной власти субъектов РФ. В науке вызывает споры определение понятия «критерии эффективности», на основании чего изучение их является актуальным.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/8961/1/koz2021_48_55.pdf
Проблемы экономической безопасности региона и пути их решения (на примере Новосибирской области)|Хит Е. В.; Ануфриева О. А.; Сенькина Е. Е.|Статья посвящена вопросам экономической безопасности Новосибирской области. В работе дано определение экономической безопасности страны, перечислены основные потенциальные угрозы. Указана взаимосвязь между национальной безопасностью страны и экономической безопасностью субъектов Российской Федерации и обосновывается важность подобных исследований. На основании выбранных авторами показателей была проведена оценка экономической устойчивости Новосибирской области, а также предложены пути решения существующих в регионе проблем и предотвращения потенциальных угроз.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19479/1/ebs_2022_151_156.pdf
Нейросетевой алгоритм подавления эха в условиях двойного разговора|Шаход Д. М.; Ибряева О. Л.|В работе решается задача подавления акустического эха в условиях двойного разговора на основе нейронной сети, оценивающей идеальную двоичную маску IBM из признаков, извлеченных из смеси сигналов ближнего и дальнего конца. Новизна предложенного метода заключается в использовании алгоритма кластеризации (EM, Mean-Shift, k-Means) дополнительно с двунаправленной рекуррентной нейронной сетью BLSTM.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19910/1/miim_2022_198_205.pdf
Конституционно-правовая реформа в России в 2020 году|Буракова А. В.|В статье рассматривается конституционно-правовая реформа 2020 года, в рамках которой были внесены изменения в Конституцию Российской Федерации как в части организации и деятельности органов публичной власти, так и установлены социально-экономические и культурно-исторические основы жизнедеятельности российского общества. Неоднозначность содержания конституционных поправок, нововведения процедуры их внесения, которые выражаются в проведении общероссийского голосования, позволяют говорить о том, что Конституция нуждается со временем в ряде изменений и модернизации с учетом эволюционного развития общества и государства. Однако, любая трансформация конституционного текста должна носить концептуальный характер и должна быть направлена на совершенствование положений и норм конституции. Автор также заключает, что любые изменения конституционного не текста не должны носить ярко выраженный политический характер субъективного свойства.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/8958/1/koz2021_29_34.pdf
Сравнительный анализ систем внутреннего контроля в кредитной и некредитной финансовых организациях|Демиденко Т. И.; Безрукавая К. П.|В статье рассматриваются угрозы, возникающие в результате реализации рисков отмывания преступных доходов. Освещены вопросы правового регулирования противодействия ОД/ФТ на уровне субъектов первичного финансового мониторинга и организации внутреннего контроля на примере кредитной и некредитной организаций. Произведен сравнительный анализ систем внутреннего контроля и программ правил внутреннего контроля в двух различных организаций. По результатам анализа выделены общие принципы работы организаций в сфере ПОД/ФТ.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19540/1/ebs_2022_543_551.pdf
Лингвистическая репрезентация временной организации в «ЖД-рассказах» Д. Быкова|Ержанина М. М.|Целью статьи является рассмотрение типологии художественного времени и лингвистического воплощения данной универсальной категории текста. Каждый писатель избирает определённую композиционную структуру для своего произведения, то есть выбирает такую временную последовательность, в которой изображает происходящие события. Наши источники написаны в жанре фантастики, посмотрим, какие категории и типы времени тут представлены.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22667/1/Pravosl.Istoki_2022_50_54.pdf
Спортивное волонтерство как возможность для формирования компетенций у студентов спортивных вузов|Плешкова Е. А.; Завьялова Т. П.|В статье рассмотрены проблемы привлечения студенческой молодежи к добровольческой деятельности, как способа формирования их компетенций. С целью выявления возможных условий для формирования компетенций у студентов спортивного вуза было проведено анкетирование. По результатам исследования установлено, что многие студенты положительно относятся к волонтерству как к средству формирования компетенций.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/18523/1/sfzozhn2022_473_479.pdf
Особенности развития территорий различного функционального типа в Санкт-Петербургской городской агломерации|Житин Д. В.|За последние два десятилетия процессы урбанизации в пределах Санкт-Петербургской городской агломерации перешли на новый качественный уровень, характеризуемый быстрым ростом диспропорций в развитии территорий различного функционального типа. В ходе исследования было выделено четыре типа пригородных территорий, отличающихся как динамикой численности населения, так и ситуацией на рынке жилья.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/9385/1/tprsR2022_546_552.pdf
Эмоции и брак с Христом в визионерских нарративах доминиканок XIV в.|Кейб Е. С.|В докладе представлена брачная модель взаимоотношений Христа и монахинь доминиканского ордена XIV века. Как и любые личностные взаимоотношения, они базировались на аффективной связи. Нуптиальная модель функционировала как перформативная практика. При анализе брачных сценариев особое внимание уделялось эмоциональной составляющей и ее интерпретации. Был сделан вывод о том, что эмоции в проанализированных памятниках играли роль дидактического инструмента регулирования поведения сестер как единого эмоционального сообщества.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19748/1/klyuch.sl2022_115_117.pdf
Координационные способности студентов: поиски путей развития и совершенствования|Конькова С. И.|В статье затрагивается современное состояние здоровья студентов, уровень развития их координационных способностей; обобщаются сведения о необходимости развивать двигательные способности; обосновывается необходимость поиска видов физической активности, улучшающих координацию движений с помощью методов, использующих ровное диафрагмальное дыхание на основе китайской гимнастики тайцзицюань.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/18510/1/sfzozhn2022_414_418.pdf
Кластерный подход к организации горнолыжного туризма в Кемеровской области – Кузбассе|Кайзер Ф. Ю.; Брель О. А.|В статье проанализирована территориальная организация горнолыжного туризма Кемеровской области в контексте кластерного подхода. Авторами выделены три горнолыжных кластера на территории Кузбасса («Северный», «Западный» и «Южный»), объединяющие ряд горнолыжных курортов и комплексов. Также составлена карта-схема горнолыжных кластеров Кемеровской области с использованием ГИС-технологий.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/9414/1/tprsR2022_680_686.pdf
Медиастратегия продвижения «Кинопоиск HD» фильма «Майор Гром: Чумной Доктор»|Анисимова А. Л.|Продвижение кинофильма «Майор Гром: Чумной Доктор» связано с несколькими общественно-важными событиями в стране, что является серьезным инструментом влияния на аудиторию. PR-команда «КиноПоиска HD» создавала информационные поводы вокруг кинокартины, активно использовала форматы киножурналистики. Был зафиксирован процесс тесной взаимосвязи кинопиара и киножурналистики. Появление новых мультимедийных платформ усиливает диффузию данных сфер деятельности.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19727/1/klyuch.sl2022_64_65.pdf
Пандемия Covid-19 как угроза экономической безопасности|Сахно Ю. С.; Адыров Н. Г.; Мануйлов Ю. С.|Данная статья посвящена рассмотрению влияния пандемии COVID-19 на экономическую безопасность страны. Проанализированы способы снижения заболеваемости населения, а также меры, принимаемые государствами для предотвращения и устранения сложившихся угроз.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19488/1/ebs_2022_208_213.pdf
Проблемы развития спортивно-любительского рыболовства на внутренних водоемах Арктики на примере центральной и южной части Таймыра|Яковлев С. В.|Статья рассматривает проблемы развития спортивно-любительского рыболовства на внутренних водоемах Арктики. Представлены основные этапы проведения научного мониторинга водных биоресурсов в малоизученных водоемах Севера. Рассматриваются особенности влияния СЛР на состояние ихтиокомплекса арктических водоемов. Показывается значимость определения приемной емкости водоемов для устойчивого развития рекреационного рыболовства.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/9426/1/tprsR2022_746_750.pdf
Факторы изменения экономической доступности продовольствия в Калининградской области в период коронавирусной пандемии|Лялина А. В.|На основе доступных месячных и квартальных данных рассматривается динамика основных социальных и экономических факторов, определяющих изменение экономической доступности продовольствия в эксклавной Калининградской области. Проведено сопоставление с динамикой рассматриваемых показателей на уровне страны и федерального округа и выявлены негативные отклонения в изменении экономической доступности продовольствия в самом западном регионе страны относительно общестрановых трендов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/9364/1/tprsR2022_429_438.pdf
Трансформация и пространственная дифференциация геодемографической структуры сельского населения Брянской области|Куница М. Н.|Рассмотрены особенности геодемографической структуры сельского населения Брянской области Центральной России. Выделены ведущие тренды ее трансформации в современный период. Проведена типология регионов области по комплексу показателей геодемографической структуры сельской местности. Отражена специфика ее пространственной дифференциации, главных демографических проблем функционирования сельского населения территории.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/9333/1/tprsR2022_272_277.pdf
Литературный туризм в Оренбургской области|Поздеев А. О.|В статье рассматривается литературный туризм, приобретающий в последние годы всё большую популярность. Территория Оренбургской области обладает значительными литературными ресурсами, способствующими развитию и организации данного вида туризма. В работе предпринята попытка выделения литературных районов-ареалов, в которых, на наш взгляд, целесообразно организовывать и развивать литературный туризм.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/9419/1/tprsR2022_705_714.pdf
Структурные модели мультимедийных лонгридов|Гордиенко О. А.|Мультимедийный лонгрид – четкая структура или бесформенный поток сознания? Для ответа на поставленный вопрос использованы нарративный и структурный анализы, синтагматическо-парадигматический подход. Определены модели последовательности элементов текста, описан контекст – постмодернистский или метамодернистский, обоснованы точки соприкосновения структуры и содержания. Объектом исследования выступили мультимедийные лонгриды – лауреаты независимой журналистской премии «Редколлегия» за последние 6 лет.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/19728/1/klyuch.sl2022_65_68.pdf
Возможности метода проектов в процессе изучения теоретической части предмета «физическая культура»|Кишко З. М.|В статье представлены виды проектов, которые применяются при подготовке обучающихся к различным этапам всероссийской олимпиады школьников и конкурсным мероприятиям.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/18506/1/sfzozhn2022_395_400.pdf
Динамика показателей физического развития мальчиков 10-12 лет, занимающихся хоккеем|Назмутдинова В. И.; Можегов А. В.|Физическое развитие хоккеистов соответствует общебиологическим принципам, при этом антропометрические показатели хоккеистов превышают значения подростков и юношей, не занимающихся спортом.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/18518/1/sfzozhn2022_450_454.pdf
