Title|Authors|Abstract|PDF
Особенности организации местного самоуправления в Ямало-Ненецком автономном округе и Ханты-Мансийском автономном округе-Югре|Тепляков Д. О.; Никифоров А. А.|Исследование проблем, возникающих в процессе развития института местного самоуправления в национальном субъекте РФ на примере ХМАО-Югры и ЯНАО.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4830/1/NikiforovAA_2019.pdf
Правовое регулирование отношений по участию в долевом строительстве|Зимнева С. В.; Ржанникова Е. Ю.|Исследование исторических предпосылок возникновения и становления долевого строительства.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4894/1/RzhannikovaEYu_2019.pdf
Явление интерференции при формировании вторичной языковой личности|Белозёрова Н. Н.; Мамедова Н. Б.|Целью работы является выявление интерференции при формировании вторичной языковой личности, а также необходимо установить причины влияния одного языка на процесс изучения второго и последующего иностранного языка.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4763/1/MamedovaNB_2019.pdf
Безработица в Арктической зоне, ее особенности и основные направления регулирования|Гильтман М. А.; Шестакова Л. Ю.|Исследование факторов оказывающих влияние на уровень региональной безработицы в Арктической зоне и разработка мер регулирования уровня безработицы в Арктической зоне.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5073/1/ShestakovaLYu_2019.pdf
Право на образование: соотношение международно-правовой и внутригосударственной регламентации|Лиц М. О.; Морозова К. С.|Исследование права на образование, его соотношения в международной и внутригосударственной регламентации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4799/1/MorozovaKS_2019.pdf
Проблемы уголовно-правовой охраны половой свободы и половой неприкосновенности человека|Иванова Л. В.; Аскендеров О. К.|Исследование современного отечественного и зарубежного законодательства, регулирующего уголовно-правовые аспекты борьбы с сексуальными преступлениями.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4467/1/AskenderovOK_2019.pdf
Муниципальная собственность и ее роль в формировании неналоговых доходов местного бюджета (на примере города Тюмени)|Дегтярева Е. В.; Григорьева М. А.|Исследование бюджета муниципального образования в части неналоговых доходов от использования муниципальной собственности (на примере города Тюмени).|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4570/1/GrigorevaMA_2019.pdf
Правовое регулирование лесных отношений (гражданско-правовые аспекты)|Данилова Н. В.; Штрек Е. В.|Исследование теоретических и практических вопросов гражданско-правового регулирования лесных правоотношений.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5083/1/ShtrekEV_2019.pdf
Профессиональное совершенствование педагога-организатора в учреждениях дополнительного образования детей|Троян Е. И.; Протасова А. В.|Исследование процесса профессиональной подготовки педагога-организатора в учреждениях дополнительного образования детей.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4878/1/ProtasovaAR_2019.pdf
Развитие банковского ипотечного жилищного кредитования в Тюменской области|Мирошниченко О. С.; Ниязова А. З.|Исследование развития банковского ипотечного жилищного кредитования в Тюменской области.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4836/1/NiyazovaAZ_2019.pdf
Участие обвинителя в судебном разбирательстве|Хабарова Е. А.; Трофимова А. И.|Исследование общественных отношений, возникающих в связи с процессуальной деятельностью обвинителя в судебном разбирательстве.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4998/1/TrofimovaAI_2019.pdf
Ограничение гражданских прав с целью обеспечения безопасности государства|Марочкин С. Ю.; Некурящих И. И.|Исследование ограничения прав и свобод граждан в условиях обеспечения безопасности государства.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4823/1/NekuryashhikhII_2019.pdf
Управление программами потребительской лояльности|Маленков В. В.; Мутьева М. Е.|Исследование процессов управления лояльностью покупателей торгового предприятия-ритейлера.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4808/1/MutevaME_2019.pdf
Классификация интересов пользователей в социальных сетях на основе языковых признаков|Михалькова Е. В.; Асатрян В. А.|Исследование феномена «социальная сеть», лингвистических особенностей коммуникации в социальных сетях (виртуальных и реальных) и особенностей объединения в виртуальные сообщества через коммуникацию в Интернет.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4466/1/AsatryanVA_2019.pdf
Социально-экономическое развитие коренных малочисленных народов Севера в Ямало-Ненецком автономном округе|Гамукин В. В.; Хамидуллина С. Ю.|Исследование бюджета Ямало-Ненецкого автономного округа в рамках реализации государственной подпрограммы, направленной на социально-экономическое развитие коренных народов Севера.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5029/1/KhamidullinaSYu_2019.pdf
Связь профессионального самоотношения обслуживающего персонала кафе с эффективностью трудовой деятельности|Морева Г. И.; Андрушко Д. И.|Исследование связи самоотношения официанта с его профессиональной эффективностью.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4454/1/AndrushkoDI_2019.pdf
Защита прав сотрудников ФСИН Российской Федерации при реформировании уголовно-исполнительной системы|Бырдин Е. Н.; Гордиевская Е. С.|Исследование сущности и содержания правового положения (статуса) сотрудников ФСИН, порядка его формирования и механизмов реализации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4561/1/GordievskayaES_2019.pdf
Психологическая готовность к принятию нововведений у сотрудников государственных и коммерческих организаций|Мурзина Ю. С.; Малютина Л. В.|Исследование психологической готовности сотрудников организации к принятию нововведений.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4762/1/MalyutinaLV_2019.pdf
Правовые аспекты применения труда инвалидов в корпорации|Анбрехт Т. А.; Ермолаева Е. Л.|Исследование системы правового регулирования отношений в сфере применения труда инвалидов в корпорации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4613/1/ErmolaevaEL_2019.pdf
Организационно-управленческие аспекты промоутерской деятельности в смешанных единоборствах|Насонов В. В.; Романов И. Н.|В магистерской работе разработана программа по совершенствованию профессиональной деятельности промоутерской компании «Рать».|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4899/1/RomanovIN_2019.pdf
Организация инклюзивного образования детей из числа коренных малочисленных народов Севера в условиях школы-интерната|Патрушева И. В.; Лонгортова Е. В.|Цель исследования – теоретическое обоснование и экспериментальная проверка содержания и способов организации инклюзивного образования детей из числа коренных малочисленных народов Севера в условиях школы-интерната.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4746/1/LongortovaEV_2019.pdf
Тактическая операция: понятие и правила проведения|Кайгородова О. С.; Сафонова Л. Р.|Цель исследования – на основании действующего законодательства и судебной практики провести анализ и установить особенности тактических операций.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4920/1/SafonovaLR_2019.pdf
"Создание интеллектуального сервиса общения с клиентами ОАО ""Тюменский региональный центр"""|Бидуля Ю. В.; Маслова Л. А.|Исследование методов сокращения ресурсов и времени на техническую поддержку и консультирование клиентов за счет разработки и внедрения интеллектуального ИТ-сервиса общения с клиентами.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4771/1/MaslovaLA_2019.pdf
Защита прав, свобод и законных интересов граждан и организаций в административном судопроизводстве|Матейкович М. С.; Матейкович Е. И.|Исследование основных теоретических и практических проблем защиты прав, свобод и законных интересов граждан и организаций в административном судопроизводстве в Российской Федерации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4775/1/MateykovichEI_2019.pdf
Проблемы развития института омбудсмена: казахстанский и российский опыт|Астахова М. А.; Зейдин К. Б.|Исследование нормативно-правового регулирования института омбудсмена в Республике Казахстан и Российской Федерации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4632/1/ZeydinKB_2019.pdf
Организация сопровождения развития педагогического коллектива|Неумоева-Колчеданцева Е. В.; Помазан Е. В.|Исследование формы организации комплексного сопровождения развития педагогического коллектива.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4870/1/PomazanEV_VKR.pdf
Концепция разработки многопластового месторождения с тонкими нефтяными оторочками|Клещенко И. И.; Веснина Л. Ю.; Галстян К. А.; Макаров Ф. Н.; Свичкарёва Д. В.; Тюлькова А. И.; Шилов Ф. С.|Целью работы является создание концепции разработки и обустройства многопластового месторождения L с тонкими нефтяными оторочками на этапе «Оценка».|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22390/1/VesninaLYu_2019.pdf
Понятия и виды освобождения от уголовной ответственности|Минин Р. В.; Ханафиева Д. Р.|Исследование истории возникновения понятия, видов освобождения от уголовной ответственности, а также разработка предложений по внесению изменений в УК РФ.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5030/1/KhanafievaDR_2019.pdf
Экономико-правовой механизм реализации инвестиционной политики региона|Драгунова Л. В.; Исмаилова Д. Г.|Исследование теоретических и практических основ формирования региональной инвестиционной политики.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4648/1/IsmailovaDG_2019.pdf
Защита прав юридических лиц в Европейском Суде по правам человека|Вазиф А. С.; Робканов П. А.|Исследование особенностей защиты прав юридических лиц в Европейском Суде по правам человека.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4895/1/RobkanovPA_2019.pdf
Организация оздоровительной физической культуры работников умственного труда|Прокопьев Н. Я.; Мухина М. Ю.|Магистерская диссертация посвящена изучению организации оздоровительной физической культуры работников умственного труда.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4810/1/MukhinaMYu_2019.pdf
Оценка эффективности инвестиционного проекта|Петренко Л. Д.; Четверткова Е. Э.|Исследование эффективности инвестиционного проекта Тюменского отделения СургутНИПИнефть.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5051/1/ChetvertkovaEE_2019.pdf
Численное моделирование конвективных течений в тонком слое воды методом функции тока|Актаев Н. Е.; Чебан А. И.|Основной целью работы является численное исследование конвективных течений при генерации капельного кластера. Работа состоит из построения математической модели в приближении Буссинеска, приведенной к виду в переменных: «температура, функция тока, завихренность», а также её численной симуляции с использованием конечно-разностных методов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5045/1/ChebanAI_2019.pdf
Финансовое поведение населения: социально-демографический аспект|Мальцева Н. В.; Хатестова Е. А.|Исследование финансового поведения представителей разных социально-демографических групп населения.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5034/1/KhatestovaEA_2019.pdf
Правовое обеспечение (несостоятельности) банкротства коммерческих организаций в России|Чукреев А. А.; Рудь В. В.|Цель работы состоит в исследовании правового обеспечения несостоятельности (банкротства) в России, выявлении проблем правового регулирования соответствующих отношений и в поиске путей решения этих проблем.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4904/1/RudVV_2019.pdf
Определение концентрации взвесей при волновом движении суспензий|Баринов В. А.; Чернухина А. А.|В работе рассмотрена математическая модель двухфазной среды.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5048/1/ChernukhinaAA_2019.pdf
Взяточничество: вопросы законодательной регламентации и квалификации|Гарманов В. М.; Мосийчук В. В.|Исследование общественных отношений, обусловливающих возникновение, развитие и особенности должностной преступности, в частности, взяточничества.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4801/1/MosiychukVV_2019.pdf
Формирование комплекса продвижения фирмы на рынке косметических услуг|Замураева Л. Е.; Ильина К. Н.|Исследование теоретических и практических аспектов формирования комплекса продвижения фирмы на рынке косметических услуг.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4644/1/IlinaKN_2019.pdf
Конкурентоспособность студентов старших курсов на рынке труда (на примере вузов г. Тюмени)|Батырева М. В.; Шафранов-Куцев Г. Ф.; Руднева М. С.|Исследование социологических подходов к изучению конкурентоспособности студентов старших курсов ВУЗов на рынке труда.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4903/1/RudnevaMS_2019.pdf
Развитие навыков диалогической речи у школьников в процессе обучения иностранному языку|Пчелинцева И. Г.; Смирнова Е. Б.|Исследование способов формирования диалогической речи.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4956/1/SmirnovaEB_2019.pdf
Разработка информационной системы аттестации и анализа работы экспертов предметных комиссий Тюменской области|Захарова И. Г.; Плотоненко Ю. А.|Исследование и разработка информационного и программного обеспечения, позволяющего проводить предварительное распределение экспертов по категориям и осуществлять анализ и оценку эффективности работы экспертов во время проведения итоговой аттестации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4859/1/PlotonenkoYuA_2019.pdf
Планирование тренировочного процесса легкоатлетов 9-10 лет|Симонова Е. А.; Дзоциева Е. Т.|В магистерской диссертации рассматривается вопрос построения тренировочного процесса у легкоатлетов 9-10 лет на первом году обучения.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4584/1/DzotsievaET_2019.pdf
Особенности привлечения к административной ответственности юридических лиц и их руководителей за правонарушения в налоговой сфере|Винниченко Е. О.; Коротовских М. В.|Исследование общественных отношений, возникающих в связи с реализацией правовых норм, предусматривающих административную ответственность юридических лиц за правонарушения в налоговой сфере.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4700/1/KorotovskikhMV_2019.pdf
Корреляция когнитивных моделей фразеологической образности эмоциональной сферы в русской и английской лингвокультурах|Пономарева Е. Ю.; Кононова М. А.|"Исследование концептов ""счастье"" и ""happiness"" во фразеологической картине мира русского и английского языков."|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4690/1/KononovaMA_2019.pdf
Временная перспектива в образе мира азербайджанцев, проживающих в России и в Азербайджане (на примере г. Тюмени)|Морева Г. И.; Габибова Н. Н.|Изучение содержания временной перспективы в образе мира азербайджанцев, проживающих в России и Азербайджане.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4538/1/GabibovaNN_2019.pdf
Формирование смысложизненных ориентаций подростков через включение в Российское движение школьников|Семеновских Т. В.; Лыкова А. С.|Исследование способов формирования смысложизненных ориентаций подростков в детско-юношеской организации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4750/1/LykovaAS_VKR.pdf
Оценка фонового состояния лицензионных участков недр Нижневартовского района для оптимизации природопользования|Москвина Н. Н.; Меньшова В. С.|Магистерская диссертация посвящена оценке фонового состояния лицензионных участков недр Нижневартовского района.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4778/1/Men%27shovaVS_2019.pdf
Прогнозирование курсов криптовалют в условиях глобализации финансовых рынков|Мирошниченко О. С.; Юффа Д. А.|Исследование теоретических и правовых аспектов функционирования электронных платежных систем на основе криптовалют.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5088/1/YuffaDA_2019.pdf
Уголовная ответственность юридических лиц|Минин Р. В.; Пономарева А. В.|Исследование правовой природы, содержания и значения уголовной ответственности юридических лиц в доктрине уголовного права и в законодательствах зарубежных стран.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4871/1/PonomarevaAV_2019.pdf
Исследование минерального состава грунтовых вод Тюменского района|Знаменщиков А. Н.; Хатина Н. Г.|Исследование особенности ионного состава подземных вод г. Тюмени и Тюменского района.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5035/1/KhatinaNG_2019.pdf
Формирование микроклимата в трудовых коллективах отрасли спорта и молодёжной политики города Тюмени на основе оптимизации стиля управления руководителей|Богданова В. А.; Плотников Д. С.|Исследование и оптимизация стиля управления руководителя для формирования благоприятного микроклимата в трудовых коллективах отрасли спорта и молодежной политики г. Тюмени.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4858/1/PlotnikovDS_2019.pdf
Исследование содержания тяжелых металлов в подземных водах г. Тюмени и Тюменского района|Знаменщиков А. Н.; Семенова А. С.|Цель работы – изучение содержания тяжелых металлов в подземных водах г. Тюмени и Тюменского района для оценки качества и выявления закономерностей.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4924/1/SemenovaAS_2019.pdf
"Методическое сопровождение курсов по выбору ""Английский язык через классические тексты"""|Пчелинцева И. Г.; Комарова Е. И.|Исследование способов представления материала через английские классические тексты.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4687/1/KomarovaEI_2019.pdf
Связь реагирования на аффективные изображения, релевантные профессиональной деятельности, и эмоционального выгорания у сотрудников МЧС|Васильева И. В.; Пузикова Д. А.|Цель исследования – выявить связь между реагированием на аффективные изображения и эмоциональным выгоранием у сотрудников МЧС.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4882/1/PuzikovaDA_2019.pdf
Определение критериев классификации тяжёлой нефти|Шевелёв А. П.; Молоток А. А.|В данной работе была рассмотрена классическая модель Бакли-Леверетта. В ходе проводимой работы было решено данное уравнение аналитическим методом и численным методом.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4795/1/MolotokAA_2019.pdf
"Смысложизненные ориентации и удовлетворенность трудом (на примере сотрудников отдела продаж в филиале ПАО ""Ростелеком"" в Тюменской и Курганской областях)"|Зарубко Е. Ю.; Кипорова К. А.|Исследование связи между смысложизненными ориентациями и удовлетворенностью трудом у сотрудников компании.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4667/1/KiporovaKA_2019.pdf
Формирование математической речи в процессе учебной и внеучебной деятельности через организацию познавательной коммуникации|Емельянова И. Н.; Ленский А. П.|Целью исследования является теоретическое обоснование методики формирования математической речи учащихся в процессе учебной и внеучебной деятельности через организацию познавательной коммуникации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4740/1/LenskiyAP_2019.pdf
Формирование социально-психологического климата в педагогическом коллективе спортивной организации|Макаридин Д. Н.; Давыдова А. Г.|Исследование процессов управления социально-психологическим климатом педагогического коллектива в спортивной организации.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4574/1/DavydovaAG_2019.pdf
Семейная медиация|Сухова Н. В.; Исыпова А. Е.|Исследование общественных отношений, складывающихся в связи и по поводу организации и применения процедуры медиации в урегулировании семейных споров.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4649/1/IsypovaAE_2019.pdf
Развитие социальной активности молодых людей с ментальными нарушениями в процессе инклюзивного добровольчества|Патрушева И. В.; Токарев А. И.|Исследование социальной активности молодых людей с ментальными нарушениями.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4992/1/TokarevAI_2019.pdf
Проблемы правового регулирования труда дистанционных работников|Чикирева И. П.; Николаева Е. В.|Исследование правового регулирования дистанционной работы по законодательству РФ.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4835/1/NikolaevaEA_2019.pdf
Синтез и исследование эмульгирующих свойств алкилфосфатов|Беляцкий М. К.; Евсеева Н. С.|Цель работы – синтез алкилфосфатов реакций фосфорилирования индивидуальных жирных спиртов С9-С17 и исследование их эмульгирующих свойств эмульгаторов обратных эмульсий.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4606/1/EvseevaNS_2019.pdf
Применение современных образовательных технологий в процессе подготовки учащихся к ОГЭ по математике (Геометрия)|Шармин Д. В.; Турчин И. В.|Исследование процесса обучения геометрии в основной школе, разработка методических рекомендаций по подготовке учащихся к геометрическим задачам ОГЭ по математике.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5000/1/TurchinIV_2019.pdf
Злоупотребление правом в корпоративных правоотношениях хозяйственных обществ|Пшеничников А. Г.; Коржов А. А.|Исследование общественных отношений, складывающихся по поводу злоупотребления правом в сфере корпоративного права.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4695/1/KorzhovAA_2019.pdf
Совершенствование системы управления бизнес-процессами в целях роста капитализации и прочих факторов, формирующих внешний имидж организации|Казанцева С. М.; Каращук В. А.|Исследование и разработка проекта совершенствования системы управления бизнес-процессами на примере отдела снабжения ГК Шлюмберже с целью роста капитализации и улучшения внешнего имиджа компании.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4662/1/KarashchukVA_2019.pdf
Формирование навыков коммуникативной грамматики у студентов языковых направлений высших учебных заведений|Остапенко А. С.; Филь В. С.|Исследование основных приемов и средств для выработки у студентов языковых ВУЗов коммуникативной грамматической компетенции иностранного языка на примере английского.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5022/1/FilVS_2019.pdf
Концептуальный проект разработки и обустройства нефтяной оторочки Чаяндинского НГКМ|Клещенко И. И.; Арипов С. Ш.; Королёва О. А.; Русанова Д. В.; Садуллаев О. С.; Сандалова Е. Е.; Хакназаров Р. Т.|Целью работы является нахождение экономически рентабельного кейса разработки и обустройства нефтяной оторочки Чаяндинского НГКМ.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/22388/1/AripovSSh_2019.pdf
Правовые основы обеспечения национальной безопасности Российской Федерации и Китайской Народной Республики|Тепляков Д. О.; Бартко В. Л.|Исследование основных направлений, состояния и тенденций развития национальной безопасности.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4482/1/BartkoVL_2019.pdf
Кластерная политика как основа обеспечения устойчивого развития региона|Карагулян Е. А.; Николаев В. А.|Исследование основных направлений формирования и реализации кластерного подхода в управлении регионом (на примере Тюменской области).|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4833/1/NikolaevVA_2019.pdf
Синтез и свойства иминов на основе салициловых альдегидов и этилового эфира глицина|Ширяев А. А.; Звезда А. Н.|Исследование оптических свойств иминов в разных растворителях.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4631/1/ZvezdaAn_2019.pdf
Проблемы фиктивной постановки на учет иностранных граждан или лиц без гражданства по месту пребывания в Российской Федерации|Павленко О. В.; Максименко А. Ф.|Исследование отношений в сфере регистрационного учета по месту пребывания иностранных граждан и лиц без гражданства.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4756/1/MaksimenkoAF_2019.pdf
Финансовые методы управления оборотными активами организации|Драгунова Л. В.; Архипова Е. С.|Исследование структуры оборотных активов предприятия АО «АК «Корвет».|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4464/1/ArkhipovaES_2019.pdf
Интегративная методика спортивно-оздоровительных занятий по дзюдо у детей 4-5 лет|Дмитриева С. В.; Тюрикова И. О.|В работе выявлены особенности влияния интегративной методики спортивно-оздоровительных занятий по дзюдо на уровень развития физических и познавательных способностей детей 4-5 лет.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/5002/1/TyurikovaIO_2019.pdf
Оценка загрязнения снежного покрова при факельном сжигании попутного газа в таежной зоне Западной Сибири|Шигабаева Г. Н.; Кудлаенко Д. П.|Исследование использования снежного покрова для оценки качества атмосферного воздуха.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4715/1/KudlaenkoDP_2019.pdf
Уголовная ответственность за налоговые преступления|Иванова Л. В.; Смирнова А. Г.|Целью работы является исследование основного комплекса вопросов, которые касаются налоговых преступлений, освещение актуальных вопросов генезиса законодательства об уголовной ответственности за эту категорию преступлений, а так же приведение ряда предложений, которые касаются изменения российского уголовного законодательства.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4955/1/SmirnovaAG_2019.pdf
Прогнозирование освоения образовательной программы по математике учащихся Тюменской области с целью принятия управленческих решений|Иванов Д. И.; Евдокимов А. А.|Исследование связи между результатами ОГЭ и ЕГЭ по математике учащихся Тюменской области.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4604/1/EvdokimovAA_2019.pdf
Комплексообразующая способность природных вод Среднего Приобья|Лебедева Н. Н.; Демченко Ю. В.|Исследование содержания свободной и связанной формы металлов в пробах воды.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4582/1/DemchenkoYuV_2019.pdf
Правовые проблемы федерального государственного надзора в Российской Федерации|Данилова Н. В.; Новоселов А. Г.|Исследование общественных отношений при осуществлении деятельности государственного земельного надзора федеральными органами исполнительной власти.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4838/1/NovoselovAG_2019.pdf
Риск-ориентированное моделирование организации государственного экологического надзора при современной организации природопользования на территории Тюменской области|Петров Ю. В.; Матвеев Д. Н.|Целью исследования магистерской диссертации является разработка риск-ориентированной модели организации государственного экологического надзора при современной организации природопользования на территории юга Тюменской области.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4772/1/MatveevDN_2019.pdf
Постпирогенные сукцессии растительного покрова в зоне сплошного распространения многолетнемерзлых пород (на примере Тазовского района Ямало-Ненецкого автономного округа)|Соромотин А. В.; Бродт Л. В.|Исследование долгосрочной динамики растительности посредством данных ДЗЗ и вегетационного нормализованного индекса (NDVI).|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4510/1/BrodtLV_2019.pdf
Организация подготовки спортивного резерва на основе кластерной формы|Смирнов П. Г.; Стрельцова М. А.|Исследование кластерной формы реализации программ спортивной подготовки.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4971/1/StreltsovaMA_2019.pdf
Крайняя необходимость: закон, теория, практика|Петров В. В.; Кузнецова Ю. О.|Исследование уголовно-правовой оценки деяний, совершённых в состоянии крайней необходимости.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4721/1/KuzhetsovaYuO_2019.pdf
Модель организации психолого-педагогического сопровождения детей с ограниченными возможностями здоровья в общеобразовательной школе|Неумоева-Колчеданцева Е. В.; Давтян С. С.|Исследование процесса организации психолого-педагогического сопровождения детей с ограниченными возможностями здоровья в адаптивной образовательной среде школы.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/4573/1/DavtyanSS_2019.pdf
